title,release_date,runtime,genres,popularity,vote_average,production_countries
Lilo & Stitch,2025-05-17,108,"['Family', 'Comedy', 'Science Fiction']",630.3236,7.114,['United States of America']
Sinners,2025-04-16,138,"['Horror', 'Action', 'Thriller']",408.2362,7.505,['United States of America']
A Minecraft Movie,2025-03-31,101,"['Family', 'Comedy', 'Adventure', 'Fantasy']",399.9711,6.485,"['Sweden', 'United States of America']"
Sikandar,2025-03-29,133,"['Action', 'Drama']",383.9789,5.22,['India']
A Working Man,2025-03-26,116,"['Action', 'Crime', 'Thriller']",314.5188,6.686,"['United Kingdom', 'United States of America']"
Final Destination Bloodlines,2025-05-14,110,"['Horror', 'Mystery']",308.5566,6.979,['United States of America']
Shadow Force,2025-05-01,103,"['Action', 'Thriller', 'Drama']",293.6795,6.1,['United States of America']
Mission: Impossible - The Final Reckoning,2025-05-17,170,"['Action', 'Adventure', 'Thriller']",260.521,7.135,['United States of America']
The Last Stand of Ellen Cole,2024-10-18,92,"['Action', 'Adventure']",223.0846,8.036,"['United States of America', 'Canada', 'United Kingdom', 'Finland']"
Until Dawn,2025-04-23,103,"['Horror', 'Mystery']",185.3389,6.485,['United States of America']
Warfare,2025-04-09,95,"['War', 'Action']",164.0321,7.3,"['United Kingdom', 'United States of America']"
The Ugly Stepsister,2025-03-07,109,"['Horror', 'Comedy', 'Fantasy', 'Drama']",162.1435,7.0,"['Denmark', 'Norway', 'Poland', 'Sweden']"
Captain America: Brave New World,2025-02-12,119,"['Action', 'Thriller', 'Science Fiction']",157.7259,6.072,['United States of America']
Lilo & Stitch,2002-06-21,85,"['Animation', 'Family', 'Comedy']",154.0464,7.549,['United States of America']
The Containment,2025-06-05,88,"['Horror', 'Mystery']",151.6208,7.714,['Mexico']
Snow White,2025-03-12,109,"['Family', 'Fantasy']",150.3996,4.3,['United States of America']
Mountainhead,2025-05-22,109,"['Drama', 'Comedy']",125.391,5.6,['United States of America']
A Widow's Game,2025-05-29,0,"['Thriller', 'Mystery']",124.6994,6.303,['Spain']
Tin Soldier,2025-05-22,87,"['Action', 'Thriller']",123.8092,4.9,"['United States of America', 'United Kingdom']"
Thunderbolts*,2025-04-30,127,"['Action', 'Science Fiction', 'Adventure']",121.7257,7.4,['United States of America']
